 written on 25Nov2024 at 14:44:44 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    1    1   -0.30421717E-02  0.28351277E-04
    2    1    0.11936333E-03 -0.35152967E-04
    3    1    0.40956863E-03  0.36630092E-03
    4    1    0.11218906E-01  0.32542724E-02
    5    1   -0.17276696E-03 -0.30446239E-04
    6    1    0.18653815E-04  0.35166744E-04
    1    2   -0.49172552E-05  0.75697323E-04
    2    2    0.11452914E-02 -0.32663965E-03
    3    2    0.17055367E-01  0.70154255E-02
    4    2   -0.65794819E-04 -0.21902463E-04
    5    2   -0.16243298E-02  0.55907244E-03
    6    2   -0.78249903E-03 -0.82262878E-03
    1    3    0.19695837E-04 -0.20763127E-04
    2    3   -0.19328497E-01 -0.76249157E-02
    3    3    0.88064369E-02 -0.18105066E-03
    4    3    0.94790118E-04 -0.23546327E-03
    5    3   -0.17379771E-01 -0.35606674E-02
    6    3   -0.35473609E-01  0.19545155E-01
    1    4    0.31932919E-02 -0.22589229E-02
    2    4   -0.11365219E-04  0.37956807E-04
    3    4    0.13106635E-03  0.35648009E-03
    4    4   -0.40384730E-02 -0.27248629E-04
    5    4    0.13517081E-03 -0.77645540E-04
    6    4   -0.14542859E-04 -0.64908135E-04
    1    5   -0.15102165E-03  0.19222772E-04
    2    5    0.90470551E-03  0.51736772E-04
    3    5   -0.16920910E-01  0.23176865E-02
    4    5    0.76697946E-04  0.53518997E-04
    5    5    0.13545545E-02  0.38630154E-03
    6    5    0.18747730E-02 -0.18421275E-02
    1    6    0.57016915E-04 -0.91945023E-04
    2    6   -0.16860611E-04  0.17640022E-02
    3    6    0.87991871E-02 -0.33500022E-02
    4    6   -0.43484708E-04 -0.10472751E-04
    5    6   -0.16851325E-02  0.33664025E-03
    6    6   -0.41155471E-03  0.12028612E-03

   -5   -2    0
    1    1   -0.30427892E-02  0.21930272E-04
    2    1    0.11085980E-03  0.73405306E-04
    3    1   -0.34297399E-03 -0.28477076E-03
    4    1    0.99703454E-02  0.70872757E-02
    5    1   -0.12530158E-03  0.58870940E-04
    6    1    0.10271527E-04  0.31661827E-04
    1    2    0.24245074E-04 -0.66603089E-04
    2    2   -0.38181186E-03  0.24587674E-03
    3    2   -0.78016975E-02  0.61438187E-02
    4    2    0.74798589E-05  0.87169446E-05
    5    2    0.16517548E-02 -0.87982395E-03
    6    2    0.88952548E-03  0.15741201E-02
    1    3    0.84479527E-04 -0.13369029E-03
    2    3    0.39166927E-01 -0.11714003E-01
    3    3    0.87427200E-02 -0.14361612E-03
    4    3   -0.71576420E-03 -0.45380940E-03
    5    3   -0.20784664E-01 -0.50990301E-02
    6    3    0.19602587E-01  0.26055230E-02
    1    4   -0.32481922E-02  0.24066415E-02
    2    4   -0.85309086E-05  0.63770742E-04
    3    4    0.45837236E-03 -0.81500038E-04
    4    4   -0.40398119E-02 -0.25400464E-04
    5    4    0.48926542E-04 -0.59454736E-04
    6    4   -0.15803939E-04 -0.43659022E-05
    1    5   -0.22838751E-03  0.71444303E-04
    2    5   -0.23060960E-02  0.15764205E-02
    3    5   -0.15364813E-01  0.93150732E-03
    4    5    0.91894787E-04  0.69818865E-04
    5    5    0.12982108E-02  0.34957282E-03
    6    5   -0.92702448E-03  0.39040287E-04
    1    6   -0.12546689E-03 -0.76415716E-05
    2    6   -0.47301008E-03 -0.10489357E-02
    3    6   -0.15181994E-01 -0.98526584E-02
    4    6   -0.55243986E-05  0.33059989E-04
    5    6    0.16135892E-02  0.35011177E-04
    6    6    0.12375654E-02 -0.44836324E-03

   -5   -1    0
    1    1   -0.21762241E-02 -0.17501916E-04
    2    1   -0.57503115E-04 -0.51046456E-04
